symbol,direction,entry_time,exit_time,entry_price,exit_price,size,original_size,contract_multiplier,score,pnl,pnl_pct,bars_held,reason_exit,reason_entry,partial_exit
C0,long,2020-09-21,2020-11-06,2484.5,2559.5,3,3,10,95,2232.0,0.030187,28,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 50.66, 'bb_width': 0.1178, 'vol_ratio': 1.62, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2450.0, 'latest_swing_low': 2252.0, 'trigger_level': 2450.0, 'structure_stop_loss': 2240.9643}",False
RB0,long,2020-12-21,2020-12-23,4314.5,4312.5,1,1,10,95,-26.0,-0.000464,3,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 52.17, 'bb_width': 0.12, 'vol_ratio': 1.77, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 4237.0, 'latest_swing_low': 3964.0, 'trigger_level': 4237.0, 'structure_stop_loss': 3934.45}",False
TA0,long,2020-12-15,2021-01-26,3834.5,3889.5,2,2,5,95,538.0,0.014343,30,time_stop,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 25.35, 'bb_width': 0.1616, 'vol_ratio': 1.97, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 3782.0, 'latest_swing_low': 3396.0, 'trigger_level': 3782.0, 'structure_stop_loss': 3367.7571}",False
V0,long,2021-09-08,2021-09-14,9675.5,9673.5,1,1,5,95,-16.0,-0.000207,5,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 22.87, 'bb_width': 0.0581, 'vol_ratio': 1.56, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 9480.0, 'latest_swing_low': 9080.0, 'trigger_level': 9480.0, 'structure_stop_loss': 9024.5}",False
M0,long,2022-02-24,2022-03-30,3924.5,4107.4286,1,1,10,95,1823.29,0.046612,25,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 44.99, 'bb_width': 0.2702, 'vol_ratio': 1.72, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 3903.0, 'latest_swing_low': 3646.0, 'trigger_level': 3903.0, 'structure_stop_loss': 3612.5714}",False
V0,long,2023-09-05,2023-09-22,6514.5,6319.5,2,2,5,95,-1962.0,-0.029933,13,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 24.41, 'bb_width': 0.077, 'vol_ratio': 2.07, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 6405.0, 'latest_swing_low': 6153.0, 'trigger_level': 6405.0, 'structure_stop_loss': 6118.1571}",False
FG0,short,2024-03-19,2024-04-08,1533.5,1535.5,1,1,20,95,-46.0,-0.001304,13,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 26.07, 'bb_width': 0.1191, 'vol_ratio': 1.79, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 1673.0, 'latest_swing_low': 1555.0, 'trigger_level': 1555.0, 'structure_stop_loss': 1687.3786}",False
TA0,short,2024-08-20,2024-09-05,5373.5,5100.5,1,2,5,95,1359.0,0.050805,13,partial_exit_1R5,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 40.46, 'bb_width': 0.0862, 'vol_ratio': 1.65, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 5636.0, 'latest_swing_low': 5468.0, 'trigger_level': 5468.0, 'structure_stop_loss': 5663.7714}",True
TA0,short,2024-08-20,2024-09-25,5373.5,4983.4286,1,2,5,95,1944.36,0.072592,25,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 40.46, 'bb_width': 0.0862, 'vol_ratio': 1.65, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 5636.0, 'latest_swing_low': 5468.0, 'trigger_level': 5468.0, 'structure_stop_loss': 5663.7714}",False
M0,long,2025-03-04,2025-03-12,3001.5,2861.5,2,2,10,95,-2812.0,-0.046643,6,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 33.43, 'bb_width': 0.0585, 'vol_ratio': 1.89, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2985.0, 'latest_swing_low': 2864.0, 'trigger_level': 2985.0, 'structure_stop_loss': 2847.9071}",False
V0,long,2025-07-22,2025-07-29,5123.5,5121.5,2,2,5,95,-32.0,-0.00039,6,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_PULLBACK', 'pure_state': 'BULL_TREND', 'adx': 22.23, 'bb_width': 0.0562, 'vol_ratio': 1.85, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5063.0, 'latest_swing_low': 4922.0, 'trigger_level': 5063.0, 'structure_stop_loss': 4897.7857}",False
TA0,long,2026-03-03,2026-03-10,5572.5,6000.4286,1,1,5,95,2133.64,0.076793,6,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 27.83, 'bb_width': 0.0818, 'vol_ratio': 1.73, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5508.0, 'latest_swing_low': 5098.0, 'trigger_level': 5508.0, 'structure_stop_loss': 5060.3714}",False
